"Response ID","Q6_Response","Group"
"R_5J8uHvrhM4sRIjL","It looks like it’s very cool and futuristic ","2"
"R_7EbCXnJ4ZDFVQc9","Slower speech would help to process what the robot is saying, as it appears to give a lot of detail at once. ","2"
"R_80Deztc9VK2oTCx","Maybe change the words used, as they are quite technical and not everyone can understand what the robot means.","2"
"R_33SUIxyiGzpmoxP","No I do not have any recommendations about how to improve the robot. ","2"
"R_1qmWoMHnhpce1bX","You might make the voice more human, and make the robot's movements less noisy, and mechanical. ","2"
"R_51Es4U6LJcbQWhM","If you actually want to sell it to schools it needs to be cheaper and way more simple. That is a whole robot with massive amounts of technology required to operate and upkeep. A public school teacher will be lost.","2"
"R_1JQRZU3IUsIYnAP","Maybe a laser pointer to emphasize different squares that it's talking about without having to touch the board.","2"
"R_8TKWbdjs1BjkQPT","make the robot explain in a better way that the child can understan d, try trial and eroror witht he child to demonstrate principles","2"
"R_3zkznt2o2YAdllz","A little smaller.  More humanized voice","2"
"R_5Pmwq7vssQGs3pT","None. The robot has everything it needs to do the task it is programmed to do.","2"
"R_1KJwoPhrvDV9I7h","optimizing its movement speed and grip mechanism would make interactions smoother and more efficient, improving the overall user experience.","2"
"R_5pbSouhp2lQRoAz","Maybe use a more human voice.","2"
"R_2n7zbZ0dxZe7WWJ","The rotating head cut my attention and I believe it should be improved not to hit a player when the robot is playing with a human ","2"
"R_3WD9kgiVjiRbrBb","make it quieter. The noise is distracting. ","2"
"R_5AYgz9TDrPz9qSx","Have a talking frog, with no arms, gives instructions on how to move the pieces, which become illuminated and ask the young player to do the physical work for both players","2"
"R_1PGpJv96shLKo9Z","In the video, it was difficult to see if the robot pointed accurately at square D4 when discussing it. Perhaps a different pointing mechanism would be easier to follow with the eyes?","2"
"R_7hV5bLoDxMywnT3","Maybe make it more interactive and engaging so the children don't get bored","2"
"R_7GExcqjqR9o8GEV","improving the handling object","2"
"R_7ozEdxpdsEyvHe8","No, I feel like its pretty clear and informative.","2"
"R_60SZapCmxWTOWUK","It could be a little more clean with less cables","2"
"R_295RNulztjFOsQF","Make the language less technical to make it easier for students to understand ","2"
