"Response ID","Q5_Response","Group"
"R_6OGEs9Jk37UWjM2","The robot appears to work for its intended use. Unfortunately the sound the robot makes is a bit off putting and if someone was trying to learn from it they might be distracted. ","1"
"R_8FWlrwL9VWbkqlK","Technical quality seems fine, but I do not have a lot of experience with them.","1"
"R_7QzNPdA4ydCELbH","The robot seems to move smoothly and explains in detail how it is learning to use the chess game.","1"
"R_5Kxqw6pc9qG2EH5","I think the performance was great especially with vocalizing and visualizing what it was demonstrating. ","1"
"R_3LKiyRiEJRSupO1","Seems very precise and able to explain in a fairly easy to understand fashion.","1"
"R_3Nqfuz1chvegwPK","The robot seems to be of good quality. It's explaining things quite well.","1"
"R_678dUIkcKNYxvdD","The voice is clear and understandable. ","1"
"R_7QEYdofdTUlkztS","The robot looks to be built properly and I enjoyed the audio commentary as well. It may also scare off young students though.","1"
"R_61tvN6Hic4Z1pcI","The robot, based on what was stated, seems to be skilled at 3D mapping. I would want to see how the robot performs in a game.","1"
"R_37QGDUEYtayrBbb","I thought y'all meant Deep Blue! This is an actual robot for moving pieces, not a chess engine.","1"
"R_1xJLf5bjweJvYXv","The robot explained perfectly how he learns how to ""play"" chess, while moving and maintaining stability to view all parts of the board.","1"
"R_7iqlChH8MIoA6zR","Not very human like, but very clear and informative ","1"
"R_7DY6VvEvOGCH5YX","It is very clear. It is impressive how it senses the board.","1"
"R_3jf89CHraK8bVnZ","It's too slow, but I do like that it analyze the whole board first","1"
"R_5Ez1xFTJCrX4zo2","The robot spoke clearly and used vocabulary that would be appropriate for the average person.","1"
"R_2jfdWtRfiRe9O2o","it seems like it works well for moving pieces, not explaining what it does. it can clearly see where pieces are and move them, but it didn't explain anything to do with chess","1"
"R_8pgtObTWHl2jvIK","moves smoothly and accurately whilst having access to the full board","1"
"R_8aE4Lsd2nQyZJeM","Robot disrupt the attention which is very important in chess","1"
"R_8HH6aUkhjLUl3rz","Robot looks realy cool and moves very smoothly ","1"
"R_1WLvcZ0J3qMrhlf","the robot seemed positive very smart good technical quality","1"
"R_22K23E4qpv8LTbR","It seems a little old fashioned in the way it works as it shouldn't need to scan the whole board like that","1"
"R_8oRVOGdkNwpFchj","highly intelligent, movements are not smooth and very robotic","1"
"R_2wROtZf2wYZqOhH","The robot is very smart ","1"
"R_8CsupRsHUkzp8wc","Fairly basic movement, but delicate enough to move the chess pieces and very specific. ","1"
"R_11B8B59TLUA2Fba","Talks and explains how it figures out how to move","1"
"R_23vVQwWwBNitwIL","The transitions are smooth and effortless and the voice is clear and informative and easy to understand ","1"
